기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,5,4200,21000
2026-07-07,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103765,누텔라시나몬롤데니쉬,2,4800,9600
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,3,5200,15600
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,1,5200,5200
2026-07-19,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,1,5200,5200
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,2,5200,10400
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,2,5200,10400
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,4,5200,20800
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,1,5200,5200
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-09,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,2,5200,10400
2026-07-13,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,1,4900,4900
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,4,4900,19600
2026-07-16,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,3,4900,14700
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,2,4900,9800
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,1,4900,4900
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,1,4900,4900
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,4,4600,18400
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,4,4600,18400
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,3,4600,13800
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,1,4600,4600
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),디저트,103737,허쉬딥초코롤케이크(조각),2,6500,13000
2026-07-17,밀도,밀도 성수점,폐기,유통기한초과(폐기),카스텔라,102866,에그촉촉 카스텔라,2,12000,24000
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,1,5800,5800
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,2,5800,11600
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,2,5800,11600
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,2,8900,17800
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,4,8900,35600
